session;treatment;period;phase;profit;subject;q;qi_min;Subject;client;Geschlecht;Alter;Trust_1;Trust_2;LM_1;LM_2;LM_3;LM_4;LM_5;LM_6;LM_7;LM_8;LM_9;LM_10;MM_1;MM_2;MM_3;MM_4;MM_5;MM_6;Studiengang;#N;#E;#T
S01;weakR;5;3;326;6;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;289.92;7;42;42;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;144;8;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;262.72;9;48;45;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;289.5;10;35;32;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;245.5;11;55;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;258;12;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;240;13;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;226;14;30;25;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;245.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;5;3;183.58;16;51;51;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;210;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;199.5;2;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;210;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;127.5;4;55;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;269.18;5;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;273.5;6;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;246;7;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;78;8;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;185;9;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;204.5;10;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;212.5;11;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;192.5;12;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;269.5;13;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;264;14;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;269.5;15;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;1;4;82;16;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;254;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;249.5;2;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;212;3;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;177.5;4;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;279.5;5;15;11;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;284;6;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;251.5;7;35;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;92;8;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;205;9;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;224.5;10;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;224.5;11;15;5;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;196.5;12;35;25;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;270.5;13;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;263.78;14;21;20;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;270.5;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;2;4;83;16;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;
S01;weakR;3;4;274.5;1;15;10;;;;;;;;;;;;;;;;;;;;;;;;;;
